time,signal,visual,auditory,kinesthetic,time_diff,pid
456.5938949584961,has_item,4436,577,1167,,9
658.0926628112793,idle,3950,-2,2014,201.4987678527832,9
766.4524507522583,searching,807,678,1550,108.359787940979,9
963.9824125766754,has_information,2982,120,1066,197.52996182441711,9
379.6789152622223,searching,2198,53,1623,,25
555.52805352211,has_item,4415,749,1393,175.8491382598877,25
695.7129375934601,idle,5723,-2,1510,140.1848840713501,25
796.7894585132599,has_information,88,829,366,101.0765209197998,25
402.660578250885,idle,1384,508,386,,7
570.0267932415009,has_item,791,120,1902,167.36621499061584,7
737.7294912338257,searching,5798,404,133,167.70269799232483,7
831.9154767990112,has_information,4437,260,992,94.18598556518555,7
655.0626499652863,idle,3265,-2,-2,,3
1204.1635239124298,searching,4522,398,1659,549.1008739471436,3
1421.6641128063202,has_information,489,215,271,217.50058889389038,3
1582.3682880401611,has_item,5179,320,966,160.70417523384094,3
613.379753112793,has_information,807,516,966,,2
925.2665116786956,idle,2051,698,384,311.8867585659026,2
1151.5759241580963,has_item,3859,596,546,226.30941247940075,2
1449.6858875751495,searching,5781,275,1448,298.1099634170532,2
427.5178661346436,has_item,102,194,891,,23
753.1262691020966,idle,139,20,1376,325.60840296745295,23
943.9903242588044,searching,226,481,1398,190.86405515670788,23
1115.1047236919403,has_information,5434,832,1891,171.11439943313587,23
587.244108915329,searching,4298,476,184,,5
1024.076540708542,has_information,1666,806,2019,436.8324317932131,5
1412.227243423462,has_item,5774,465,791,388.1507027149198,5
1931.251516342163,idle,2290,79,739,519.0242729187012,5
549.7118747234344,has_information,686,854,1686,,12
810.8339605331421,idle,4252,170,1410,261.12208580970764,12
1010.0952656269072,has_item,11,73,891,199.26130509376515,12
1269.5412909984589,searching,625,852,876,259.4460253715516,12
104.06493067741394,searching,226,295,1560,,21
261.873738527298,has_information,5587,316,1329,157.80880784988403,21
366.2227852344513,idle,3327,301,1311,104.34904670715332,21
417.1056931018829,has_item,106,449,1510,50.882907867431584,21
546.4888663291931,idle,4975,-2,-2,,17
769.7009582519531,searching,4796,464,164,223.21209192276,17
1162.919603586197,has_item,225,363,1208,393.2186453342438,17
1293.5916471481323,has_information,3656,272,44,130.67204356193542,17
478.2280187606812,idle,2760,837,1840,,10
712.7928011417389,has_item,72,415,107,234.56478238105768,10
905.738843679428,has_information,560,422,423,192.9460425376891,10
1117.7183825969696,searching,47,112,1281,211.97953891754162,10
370.8137300014496,has_information,5587,107,1674,,24
426.2485113143921,has_item,2453,322,1287,55.434781312942505,24
550.6621129512787,searching,4856,682,1291,124.4136016368866,24
664.341897726059,idle,5861,86,1975,113.67978477478027,24
683.7694761753082,has_item,5077,447,1193,,22
1038.5078837871552,has_information,4318,24,1611,354.7384076118469,22
1362.1059103012085,idle,4155,-2,762,323.59802651405334,22
1744.5030329227448,searching,2980,381,835,382.39712262153625,22
676.1411817073822,idle,5254,-2,805,,19
1210.1624698638916,searching,4325,192,1299,534.0212881565094,19
1713.5673022270205,has_item,3049,316,2093,503.4048323631289,19
2109.945518970489,has_information,67,271,1069,396.37821674346856,19
425.8078758716583,has_information,38,423,1549,,13
608.5226469039917,has_item,536,328,935,182.71477103233337,13
866.550961971283,searching,5456,154,1749,258.02831506729126,13
1089.67568898201,idle,3440,301,-2,223.12472701072693,13
331.6032462120056,has_item,3649,674,768,,4
514.58482670784,idle,5254,-2,2060,182.98158049583435,4
635.9372725486755,has_information,4065,303,817,121.35244584083557,4
919.5176796913148,searching,886,854,177,283.5804071426393,4
688.207257270813,searching,4095,634,1941,,11
805.7730963230133,idle,4095,635,1397,117.56583905220032,11
941.8661849498748,has_information,4993,508,137,136.09308862686146,11
1084.1084308624268,has_item,1129,305,1379,142.242245912552,11
760.1395416259766,has_information,517,732,2095,,14
928.4747226238252,has_item,4870,302,1149,168.33518099784862,14
1018.7858781814576,idle,2980,656,2102,90.31115555763245,14
1122.921266078949,searching,5303,503,1183,104.13538789749134,14
415.9541878700256,has_information,714,614,215,,8
691.3295402526855,searching,1269,168,282,275.37535238265997,8
944.9694764614104,idle,1239,481,1960,253.63993620872486,8
1075.252359867096,has_item,156,547,1460,130.28288340568554,8
450.5020303726196,has_item,652,302,2094,,15
794.7258675098419,has_information,108,774,1938,344.22383713722235,15
933.2702205181122,searching,226,233,1501,138.54435300827026,15
1307.1369071006775,idle,460,261,1939,373.8666865825653,15
520.2324178218842,idle,2765,520,1284,,6
796.8571298122406,has_information,1783,12,2077,276.62471199035645,6
1206.6699924468994,searching,3146,681,450,409.8128626346588,6
1472.7080657482147,has_item,5735,337,2118,266.0380733013153,6
562.2746109962463,has_item,8,703,692,,16
685.4727258682251,has_information,5673,15,2080,123.19811487197876,16
928.013384103775,searching,630,-2,1443,242.54065823554993,16
998.262425661087,idle,5888,-2,-2,70.24904155731201,16
446.39316606521606,idle,326,-2,1181,,26
832.954934835434,searching,226,659,1216,386.5617687702179,26
1011.7356996536256,has_information,4858,477,1216,178.78076481819164,26
1248.9047577381134,has_item,333,241,1141,237.1690580844878,26
354.4468531608581,has_item,11,451,733,,18
695.8508327007294,searching,2375,612,350,341.4039795398713,18
1158.8058717250824,idle,5357,762,1945,462.955039024353,18
1371.3884298801422,has_information,5797,71,1343,212.58255815505981,18
493.5957236289978,has_information,767,302,809,,20
776.955489397049,idle,1844,-2,1936,283.35976576805115,20
1097.6659021377563,has_item,20,18,735,320.7104127407074,20
1351.1453909873962,searching,311,368,1507,253.4794888496399,20
