modality,signal,embedding_type,embedding_size,metric
visual,idle,contrastive+autoencoder,16,0.3333333432674408
visual,idle,contrastive+autoencoder,16,1.0
visual,idle,contrastive+autoencoder,16,0.3333333432674408
visual,idle,contrastive+autoencoder,16,1.0
visual,idle,contrastive+autoencoder,16,0.0
visual,idle,contrastive+autoencoder,16,0.0
visual,idle,contrastive+autoencoder,16,0.0
visual,idle,contrastive+autoencoder,16,1.0
visual,idle,contrastive+autoencoder,16,0.3333333432674408
visual,searching,contrastive+autoencoder,16,0.3333333432674408
visual,searching,contrastive+autoencoder,16,0.0
visual,searching,contrastive+autoencoder,16,0.0
visual,searching,contrastive+autoencoder,16,0.5555555820465088
visual,searching,contrastive+autoencoder,16,0.0
visual,searching,contrastive+autoencoder,16,0.0
visual,searching,contrastive+autoencoder,16,0.0
visual,searching,contrastive+autoencoder,16,0.6000000238418579
visual,searching,contrastive+autoencoder,16,0.171875
visual,searching,contrastive+autoencoder,16,0.0
visual,searching,contrastive+autoencoder,16,0.3718750029802322
visual,has_item,contrastive+autoencoder,16,0.0
visual,has_item,contrastive+autoencoder,16,0.3333333432674408
visual,has_item,contrastive+autoencoder,16,1.0
visual,has_item,contrastive+autoencoder,16,0.3333333432674408
visual,has_item,contrastive+autoencoder,16,0.0
visual,has_item,contrastive+autoencoder,16,0.0
visual,has_item,contrastive+autoencoder,16,0.0
visual,has_item,contrastive+autoencoder,16,0.0
visual,has_item,contrastive+autoencoder,16,0.5555555820465088
visual,has_item,contrastive+autoencoder,16,0.3333333432674408
visual,has_item,contrastive+autoencoder,16,0.6666666865348816
visual,has_information,contrastive+autoencoder,16,0.3333333432674408
visual,has_information,contrastive+autoencoder,16,1.0
visual,has_information,contrastive+autoencoder,16,0.4166666567325592
visual,has_information,contrastive+autoencoder,16,0.0
visual,has_information,contrastive+autoencoder,16,0.0
visual,has_information,contrastive+autoencoder,16,0.0
visual,has_information,contrastive+autoencoder,16,0.0
visual,has_information,contrastive+autoencoder,16,0.6666666865348816
visual,has_information,contrastive+autoencoder,16,0.0
visual,has_information,contrastive+autoencoder,16,0.0
visual,has_information,contrastive+autoencoder,16,0.3333333432674408
visual,idle,contrastive,16,0.5555555820465088
visual,idle,contrastive,16,0.9166666865348816
visual,idle,contrastive,16,1.0
visual,idle,contrastive,16,1.0
visual,idle,contrastive,16,0.0
visual,idle,contrastive,16,0.8333333134651184
visual,idle,contrastive,16,0.0
visual,idle,contrastive,16,1.0
visual,idle,contrastive,16,0.0
visual,searching,contrastive,16,0.3333333432674408
visual,searching,contrastive,16,0.0
visual,searching,contrastive,16,0.0
visual,searching,contrastive,16,0.5555555820465088
visual,searching,contrastive,16,0.0
visual,searching,contrastive,16,0.0
visual,searching,contrastive,16,0.0
visual,searching,contrastive,16,0.7333333492279053
visual,searching,contrastive,16,0.171875
visual,searching,contrastive,16,0.0
visual,searching,contrastive,16,0.3656250014901161
visual,has_item,contrastive,16,0.0
visual,has_item,contrastive,16,0.3333333432674408
visual,has_item,contrastive,16,0.5555555820465088
visual,has_item,contrastive,16,0.3333333432674408
visual,has_item,contrastive,16,0.0
visual,has_item,contrastive,16,0.0
visual,has_item,contrastive,16,0.0
visual,has_item,contrastive,16,0.0
visual,has_item,contrastive,16,0.5555555820465088
visual,has_item,contrastive,16,0.5
visual,has_item,contrastive,16,0.0
visual,has_information,contrastive,16,0.2222222238779068
visual,has_information,contrastive,16,1.0
visual,has_information,contrastive,16,1.0
visual,has_information,contrastive,16,0.0
visual,has_information,contrastive,16,0.0
visual,has_information,contrastive,16,0.0
visual,has_information,contrastive,16,0.0
visual,has_information,contrastive,16,0.8333333134651184
visual,has_information,contrastive,16,0.0
visual,has_information,contrastive,16,0.0
visual,has_information,contrastive,16,1.0
visual,idle,autoencoder,16,0.5555555820465088
visual,idle,autoencoder,16,1.0
visual,idle,autoencoder,16,1.0
visual,idle,autoencoder,16,1.0
visual,idle,autoencoder,16,0.0
visual,idle,autoencoder,16,0.8333333134651184
visual,idle,autoencoder,16,0.0
visual,idle,autoencoder,16,1.0
visual,idle,autoencoder,16,0.0
visual,searching,autoencoder,16,0.3333333432674408
visual,searching,autoencoder,16,0.0
visual,searching,autoencoder,16,0.0
visual,searching,autoencoder,16,0.2222222238779068
visual,searching,autoencoder,16,0.0
visual,searching,autoencoder,16,0.0833333358168602
visual,searching,autoencoder,16,0.0
visual,searching,autoencoder,16,0.8666666746139526
visual,searching,autoencoder,16,0.171875
visual,searching,autoencoder,16,0.0
visual,searching,autoencoder,16,0.078125
visual,has_item,autoencoder,16,0.0
visual,has_item,autoencoder,16,0.3333333432674408
visual,has_item,autoencoder,16,0.0
visual,has_item,autoencoder,16,0.3333333432674408
visual,has_item,autoencoder,16,0.0
visual,has_item,autoencoder,16,0.0
visual,has_item,autoencoder,16,0.0
visual,has_item,autoencoder,16,0.0
visual,has_item,autoencoder,16,0.5555555820465088
visual,has_item,autoencoder,16,0.3333333432674408
visual,has_item,autoencoder,16,0.6666666865348816
visual,has_information,autoencoder,16,0.3333333432674408
visual,has_information,autoencoder,16,1.0
visual,has_information,autoencoder,16,0.5
visual,has_information,autoencoder,16,0.0
visual,has_information,autoencoder,16,0.0
visual,has_information,autoencoder,16,0.0
visual,has_information,autoencoder,16,1.0
visual,has_information,autoencoder,16,0.6666666865348816
visual,has_information,autoencoder,16,0.0
visual,has_information,autoencoder,16,0.0
visual,has_information,autoencoder,16,0.3333333432674408
visual,idle,random,16,0.5555555820465088
visual,idle,random,16,1.0
visual,idle,random,16,1.0
visual,idle,random,16,1.0
visual,idle,random,16,0.0
visual,idle,random,16,0.0
visual,idle,random,16,0.0
visual,idle,random,16,1.0
visual,idle,random,16,0.7333333492279053
