modality,signal,embedding_type,embedding_size,metric
visual,idle,contrastive+autoencoder,32,1.0
visual,idle,contrastive+autoencoder,32,1.0
visual,idle,contrastive+autoencoder,32,1.0
visual,idle,contrastive+autoencoder,32,1.0
visual,idle,contrastive+autoencoder,32,1.0
visual,idle,contrastive+autoencoder,32,1.0
visual,idle,contrastive+autoencoder,32,1.0
visual,idle,contrastive+autoencoder,32,1.0
visual,idle,contrastive+autoencoder,32,1.0
visual,searching,contrastive+autoencoder,32,1.0
visual,searching,contrastive+autoencoder,32,1.0
visual,searching,contrastive+autoencoder,32,1.0
visual,searching,contrastive+autoencoder,32,0.3333333432674408
visual,searching,contrastive+autoencoder,32,1.0
visual,searching,contrastive+autoencoder,32,0.75
visual,searching,contrastive+autoencoder,32,1.0
visual,searching,contrastive+autoencoder,32,0.6000000238418579
visual,searching,contrastive+autoencoder,32,1.0
visual,searching,contrastive+autoencoder,32,0.5
visual,searching,contrastive+autoencoder,32,0.4285714328289032
visual,has_item,contrastive+autoencoder,32,0.5
visual,has_item,contrastive+autoencoder,32,1.0
visual,has_item,contrastive+autoencoder,32,1.0
visual,has_item,contrastive+autoencoder,32,0.8333333134651184
visual,has_item,contrastive+autoencoder,32,1.0
visual,has_item,contrastive+autoencoder,32,0.0
visual,has_item,contrastive+autoencoder,32,1.0
visual,has_item,contrastive+autoencoder,32,0.8999999761581421
visual,has_item,contrastive+autoencoder,32,1.0
visual,has_item,contrastive+autoencoder,32,0.0
visual,has_item,contrastive+autoencoder,32,1.0
visual,has_information,contrastive+autoencoder,32,1.0
visual,has_information,contrastive+autoencoder,32,1.0
visual,has_information,contrastive+autoencoder,32,0.75
visual,has_information,contrastive+autoencoder,32,0.5
visual,has_information,contrastive+autoencoder,32,1.0
visual,has_information,contrastive+autoencoder,32,0.0
visual,has_information,contrastive+autoencoder,32,0.0
visual,has_information,contrastive+autoencoder,32,0.625
visual,has_information,contrastive+autoencoder,32,0.0
visual,has_information,contrastive+autoencoder,32,1.0
visual,has_information,contrastive+autoencoder,32,0.0
visual,idle,contrastive,32,1.0
visual,idle,contrastive,32,1.0
visual,idle,contrastive,32,1.0
visual,idle,contrastive,32,1.0
visual,idle,contrastive,32,1.0
visual,idle,contrastive,32,1.0
visual,idle,contrastive,32,1.0
visual,idle,contrastive,32,1.0
visual,idle,contrastive,32,1.0
visual,searching,contrastive,32,1.0
visual,searching,contrastive,32,1.0
visual,searching,contrastive,32,1.0
visual,searching,contrastive,32,0.6666666865348816
visual,searching,contrastive,32,1.0
visual,searching,contrastive,32,0.5
visual,searching,contrastive,32,1.0
visual,searching,contrastive,32,0.6000000238418579
visual,searching,contrastive,32,1.0
visual,searching,contrastive,32,0.75
visual,searching,contrastive,32,0.3571428656578064
visual,has_item,contrastive,32,0.5
visual,has_item,contrastive,32,0.0
visual,has_item,contrastive,32,1.0
visual,has_item,contrastive,32,0.8333333134651184
visual,has_item,contrastive,32,1.0
visual,has_item,contrastive,32,0.0
visual,has_item,contrastive,32,1.0
visual,has_item,contrastive,32,0.8999999761581421
visual,has_item,contrastive,32,1.0
visual,has_item,contrastive,32,0.0
visual,has_item,contrastive,32,1.0
visual,has_information,contrastive,32,0.6666666865348816
visual,has_information,contrastive,32,1.0
visual,has_information,contrastive,32,1.0
visual,has_information,contrastive,32,0.5
visual,has_information,contrastive,32,1.0
visual,has_information,contrastive,32,0.0
visual,has_information,contrastive,32,1.0
visual,has_information,contrastive,32,0.75
visual,has_information,contrastive,32,0.0
visual,has_information,contrastive,32,1.0
visual,has_information,contrastive,32,0.0
visual,idle,autoencoder,32,0.6666666865348816
visual,idle,autoencoder,32,1.0
visual,idle,autoencoder,32,1.0
visual,idle,autoencoder,32,1.0
visual,idle,autoencoder,32,1.0
visual,idle,autoencoder,32,0.5
visual,idle,autoencoder,32,1.0
visual,idle,autoencoder,32,1.0
visual,idle,autoencoder,32,1.0
visual,searching,autoencoder,32,1.0
visual,searching,autoencoder,32,1.0
visual,searching,autoencoder,32,1.0
visual,searching,autoencoder,32,0.6666666865348816
visual,searching,autoencoder,32,1.0
visual,searching,autoencoder,32,0.75
visual,searching,autoencoder,32,1.0
visual,searching,autoencoder,32,0.6000000238418579
visual,searching,autoencoder,32,1.0
visual,searching,autoencoder,32,0.0
visual,searching,autoencoder,32,0.4285714328289032
visual,has_item,autoencoder,32,0.5
visual,has_item,autoencoder,32,1.0
visual,has_item,autoencoder,32,1.0
visual,has_item,autoencoder,32,0.8333333134651184
visual,has_item,autoencoder,32,1.0
visual,has_item,autoencoder,32,0.0
visual,has_item,autoencoder,32,1.0
visual,has_item,autoencoder,32,0.8999999761581421
visual,has_item,autoencoder,32,1.0
visual,has_item,autoencoder,32,0.5
visual,has_item,autoencoder,32,1.0
visual,has_information,autoencoder,32,1.0
visual,has_information,autoencoder,32,1.0
visual,has_information,autoencoder,32,1.0
visual,has_information,autoencoder,32,0.5
visual,has_information,autoencoder,32,1.0
visual,has_information,autoencoder,32,0.0
visual,has_information,autoencoder,32,1.0
visual,has_information,autoencoder,32,0.875
visual,has_information,autoencoder,32,1.0
visual,has_information,autoencoder,32,1.0
visual,has_information,autoencoder,32,0.0
visual,idle,random,32,0.6666666865348816
visual,idle,random,32,0.875
visual,idle,random,32,1.0
visual,idle,random,32,1.0
visual,idle,random,32,1.0
visual,idle,random,32,1.0
visual,idle,random,32,1.0
visual,idle,random,32,1.0
visual,idle,random,32,0.6000000238418579
visual,searching,random,32,1.0
visual,searching,random,32,1.0
visual,searching,random,32,1.0
visual,searching,random,32,0.0
visual,searching,random,32,1.0
visual,searching,random,32,0.75
visual,searching,random,32,1.0
visual,searching,random,32,0.4000000059604645
visual,searching,random,32,0.9090909361839294
visual,searching,random,32,0.0
visual,searching,random,32,0.4285714328289032
visual,has_item,random,32,0.5
visual,has_item,random,32,0.0
visual,has_item,random,32,1.0
visual,has_item,random,32,0.6666666865348816
visual,has_item,random,32,1.0
visual,has_item,random,32,0.0
visual,has_item,random,32,1.0
visual,has_item,random,32,0.8999999761581421
visual,has_item,random,32,0.6666666865348816
visual,has_item,random,32,0.5
visual,has_item,random,32,1.0
visual,has_information,random,32,1.0
visual,has_information,random,32,0.5
visual,has_information,random,32,0.25
visual,has_information,random,32,0.5
visual,has_information,random,32,1.0
visual,has_information,random,32,0.0
visual,has_information,random,32,0.0
visual,has_information,random,32,0.625
visual,has_information,random,32,1.0
visual,has_information,random,32,1.0
visual,has_information,random,32,0.0
auditory,idle,contrastive+autoencoder,32,0.3333333432674408
auditory,idle,contrastive+autoencoder,32,0.5
auditory,idle,contrastive+autoencoder,32,1.0
auditory,idle,contrastive+autoencoder,32,0.9411764740943908
auditory,idle,contrastive+autoencoder,32,0.6666666865348816
auditory,idle,contrastive+autoencoder,32,0.0
auditory,idle,contrastive+autoencoder,32,1.0
auditory,idle,contrastive+autoencoder,32,1.0
auditory,searching,contrastive+autoencoder,32,0.6666666865348816
auditory,searching,contrastive+autoencoder,32,0.9473684430122375
auditory,searching,contrastive+autoencoder,32,0.6666666865348816
auditory,searching,contrastive+autoencoder,32,1.0
auditory,searching,contrastive+autoencoder,32,0.0
auditory,searching,contrastive+autoencoder,32,1.0
auditory,searching,contrastive+autoencoder,32,1.0
auditory,searching,contrastive+autoencoder,32,0.5
auditory,searching,contrastive+autoencoder,32,1.0
auditory,searching,contrastive+autoencoder,32,0.5
auditory,has_item,contrastive+autoencoder,32,1.0
auditory,has_item,contrastive+autoencoder,32,1.0
auditory,has_item,contrastive+autoencoder,32,0.5
auditory,has_item,contrastive+autoencoder,32,0.0
auditory,has_item,contrastive+autoencoder,32,1.0
auditory,has_item,contrastive+autoencoder,32,1.0
auditory,has_item,contrastive+autoencoder,32,0.0
auditory,has_item,contrastive+autoencoder,32,1.0
auditory,has_information,contrastive+autoencoder,32,0.0
