modality,signal,embedding_type,embedding_size,metric
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,idle,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,0.3333333432674408
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,0.75
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,0.4000000059604645
visual,searching,contrastive+autoencoder,8,1.0
visual,searching,contrastive+autoencoder,8,0.75
visual,searching,contrastive+autoencoder,8,0.6428571343421936
visual,has_item,contrastive+autoencoder,8,0.5
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.8333333134651184
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.0
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.8999999761581421
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_item,contrastive+autoencoder,8,0.0
visual,has_item,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.5
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.625
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,1.0
visual,has_information,contrastive+autoencoder,8,0.0
visual,idle,contrastive,8,1.0
visual,idle,contrastive,8,0.875
